2025-11-24 17:25:52,590 | INFO | 初始化数据库连接...
2025-11-24 17:25:52,632 | INFO | 📚 声纹库已挂载: 3 人
2025-11-24 17:25:52,633 | INFO | download models from model hub: ms
2025-11-24 17:25:53,258 | WARNING | trust_remote_code: False
2025-11-24 17:25:54,969 | INFO | Loading pretrained params from C:\Users\Administrator\.cache\modelscope\hub\iic\speech_seaco_paraformer_large_asr_nat-zh-cn-16k-common-vocab8404-pytorch\model.pt
2025-11-24 17:25:54,974 | INFO | ckpt: C:\Users\Administrator\.cache\modelscope\hub\iic\speech_seaco_paraformer_large_asr_nat-zh-cn-16k-common-vocab8404-pytorch\model.pt
2025-11-24 17:25:55,591 | INFO | scope_map: ['module.', 'None']
2025-11-24 17:25:55,592 | INFO | excludes: None
2025-11-24 17:25:55,716 | INFO | Loading ckpt: C:\Users\Administrator\.cache\modelscope\hub\iic\speech_seaco_paraformer_large_asr_nat-zh-cn-16k-common-vocab8404-pytorch\model.pt, status: <All keys matched successfully>
2025-11-24 17:25:56,134 | INFO | Building VAD model.
2025-11-24 17:25:56,134 | INFO | download models from model hub: ms
2025-11-24 17:25:56,756 | WARNING | trust_remote_code: False
2025-11-24 17:25:56,772 | INFO | Loading pretrained params from C:\Users\Administrator\.cache\modelscope\hub\iic\speech_fsmn_vad_zh-cn-16k-common-pytorch\model.pt
2025-11-24 17:25:56,773 | INFO | ckpt: C:\Users\Administrator\.cache\modelscope\hub\iic\speech_fsmn_vad_zh-cn-16k-common-pytorch\model.pt
2025-11-24 17:25:56,776 | INFO | scope_map: ['module.', 'None']
2025-11-24 17:25:56,776 | INFO | excludes: None
2025-11-24 17:25:56,778 | INFO | Loading ckpt: C:\Users\Administrator\.cache\modelscope\hub\iic\speech_fsmn_vad_zh-cn-16k-common-pytorch\model.pt, status: <All keys matched successfully>
2025-11-24 17:25:56,781 | INFO | Building punc model.
2025-11-24 17:25:56,781 | INFO | download models from model hub: ms
2025-11-24 17:25:57,399 | WARNING | trust_remote_code: False
2025-11-24 17:26:18,607 | INFO | Loading pretrained params from C:\Users\Administrator\.cache\modelscope\hub\iic\punc_ct-transformer_cn-en-common-vocab471067-large\model.pt
2025-11-24 17:26:18,608 | INFO | ckpt: C:\Users\Administrator\.cache\modelscope\hub\iic\punc_ct-transformer_cn-en-common-vocab471067-large\model.pt
2025-11-24 17:26:19,067 | INFO | scope_map: ['module.', 'None']
2025-11-24 17:26:19,067 | INFO | excludes: None
